City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nanortalik,GL,2022-07-31 19:09:57,60.1432,-45.2371,49.46,84,41,9.01
1,Rikitea,PF,2022-07-31 19:09:57,-23.1203,-134.9692,71.71,75,100,18.7
2,Yatou,CN,2022-07-31 19:09:58,37.15,122.3833,75.79,98,99,12.3
3,Atuona,PF,2022-07-31 19:09:01,-9.8,-139.0333,76.06,79,10,13.15
4,Seoul,KR,2022-07-31 18:56:22,37.5683,126.9778,78.24,97,100,6.91
5,Avera,US,2022-07-31 19:09:58,33.194,-82.5271,93.54,23,0,11.52
6,Tasiilaq,GL,2022-07-31 19:09:59,65.6145,-37.6368,46.56,55,23,6.33
7,Mar Del Plata,AR,2022-07-31 19:09:59,-38.0023,-57.5575,60.82,83,0,7.0
8,Mataura,NZ,2022-07-31 19:10:00,-46.1927,168.8643,31.69,97,4,3.15
9,Bredasdorp,ZA,2022-07-31 19:09:02,-34.5322,20.0403,44.89,78,5,3.13
10,Grand-Lahou,CI,2022-07-31 19:10:00,5.1367,-5.0242,75.45,81,92,12.68
11,Herat,AF,2022-07-31 19:10:01,34.5,62.0,79.25,23,0,21.39
12,Brae,GB,2022-07-31 19:10:01,60.3964,-1.353,53.4,74,1,9.57
13,Oranjestad,AW,2022-07-31 19:08:25,12.524,-70.027,81.34,84,12,24.07
14,Kasungu,MW,2022-07-31 19:10:02,-13.0333,33.4833,62.65,53,0,4.68
15,Cape Town,ZA,2022-07-31 19:09:00,-33.9258,18.4232,53.91,76,0,8.99
16,Vaini,TO,2022-07-31 19:09:10,-21.2,-175.2,75.36,94,75,4.61
17,Ushuaia,AR,2022-07-31 19:09:11,-54.8,-68.3,38.68,95,100,3.06
18,Fez,MA,2022-07-31 19:10:02,34.0372,-4.9998,106.05,15,40,10.36
19,Busselton,AU,2022-07-31 19:09:07,-33.65,115.3333,58.71,73,75,23.22
20,Dikson,RU,2022-07-31 19:10:03,73.5069,80.5464,40.08,86,100,12.86
21,Avarua,CK,2022-07-31 19:01:34,-21.2078,-159.775,75.25,69,77,11.5
22,Lebu,CL,2022-07-31 19:10:03,-37.6167,-73.65,50.92,75,82,5.79
23,Kysyl-Syr,RU,2022-07-31 19:10:04,63.8986,122.7617,63.1,88,100,3.94
24,Haradok,BY,2022-07-31 19:10:04,55.4624,29.9816,60.04,90,100,1.54
25,New Norfolk,AU,2022-07-31 19:08:57,-42.7826,147.0587,49.5,77,97,1.01
26,Luderitz,NA,2022-07-31 19:10:05,-26.6481,15.1594,58.68,52,0,21.72
27,Ngunguru,NZ,2022-07-31 19:10:05,-35.6167,174.5,48.52,81,1,8.25
28,Chitral,PK,2022-07-31 19:10:05,35.8462,71.7858,75.85,60,51,2.98
29,Albany,US,2022-07-31 19:07:38,42.6001,-73.9662,83.68,50,94,1.72
30,Clyde River,CA,2022-07-31 19:10:06,70.4692,-68.5914,34.11,96,100,2.24
31,Manyana,BW,2022-07-31 19:10:06,-23.4,21.7167,61.52,24,93,11.21
32,Deputatskiy,RU,2022-07-31 19:10:07,69.3,139.9,59.32,92,100,2.75
33,Kantang,TH,2022-07-31 19:10:07,7.4054,99.5156,77.86,91,100,2.37
34,Kabinda,CD,2022-07-31 19:10:08,-6.1333,24.4833,74.41,53,86,2.51
35,Cabo San Lucas,MX,2022-07-31 19:02:49,22.8909,-109.9124,93.61,63,0,8.05
36,Kurchum,KZ,2022-07-31 19:10:08,48.5722,83.6542,65.88,59,56,3.89
37,Kungurtug,RU,2022-07-31 19:10:09,50.5994,97.5228,52.29,91,2,1.66
38,San Javier,ES,2022-07-31 19:10:09,37.8063,-0.8374,85.57,68,20,11.5
39,Berlevag,NO,2022-07-31 19:00:16,70.8578,29.0864,58.8,82,40,4.61
40,Kodiak,US,2022-07-31 19:00:09,57.79,-152.4072,57.25,85,32,1.41
41,Rize,TR,2022-07-31 19:10:10,40.9044,40.8949,57.63,84,46,1.36
42,Aksay,RU,2022-07-31 19:10:10,47.26,39.87,84.25,33,5,14.0
43,Castro,BR,2022-07-31 19:10:10,-24.7911,-50.0119,68.68,45,0,5.61
44,Puerto Ayora,EC,2022-07-31 19:09:08,-0.7393,-90.3518,76.96,85,95,7.0
45,Hilo,US,2022-07-31 19:05:16,19.7297,-155.09,81.25,72,40,12.66
46,Toamasina,MG,2022-07-31 19:10:11,-18.1667,49.3833,67.57,87,19,4.03
47,Lichinga,MZ,2022-07-31 19:11:12,-13.3128,35.2406,59.23,52,0,3.78
48,Cravo Norte,CO,2022-07-31 19:11:12,6.3017,-70.2041,74.66,94,100,4.36
49,Kaitangata,NZ,2022-07-31 19:02:49,-46.2817,169.8464,36.05,90,5,7.09
50,Broome,US,2022-07-31 19:11:13,42.2506,-75.833,82.2,54,0,8.05
51,Boa Vista,BR,2022-07-31 19:06:26,2.8197,-60.6733,91.38,46,40,6.91
52,Sao Joao Da Barra,BR,2022-07-31 19:10:21,-21.6403,-41.0511,75.29,64,12,11.03
53,Clive,US,2022-07-31 19:11:13,41.603,-93.7241,87.39,55,40,11.99
54,Bereda,ES,2022-07-31 19:11:14,43.2686,-7.5406,69.42,95,6,6.6
55,Pacific Grove,US,2022-07-31 19:06:36,36.6177,-121.9166,74.88,84,20,9.22
56,Bambous Virieux,MU,2022-07-31 19:11:14,-20.3428,57.7575,71.22,78,40,13.8
57,Komsomolets,KZ,2022-07-31 19:11:14,53.7453,62.0708,61.5,88,16,4.65
58,Kapaa,US,2022-07-31 19:06:51,22.0752,-159.319,82.72,70,75,13.8
59,Port Alfred,ZA,2022-07-31 19:09:04,-33.5906,26.891,55.02,74,19,13.11
60,Kapit,MY,2022-07-31 19:11:15,2.0167,112.9333,73.27,99,100,1.43
61,Shagonar,RU,2022-07-31 19:11:16,51.5333,92.8,61.99,71,89,2.46
62,Ban Dung,TH,2022-07-31 19:11:16,17.699,103.2596,76.1,99,100,5.12
63,Qaanaaq,GL,2022-07-31 19:01:27,77.484,-69.3632,46.15,59,29,2.57
64,Guerrero Negro,MX,2022-07-31 19:11:17,27.9769,-114.0611,84.67,43,6,9.19
65,Madang,PG,2022-07-31 19:11:17,-5.2246,145.7966,76.51,89,95,2.46
66,Pevek,RU,2022-07-31 19:11:17,69.7008,170.3133,45.7,69,0,11.01
67,Rocha,UY,2022-07-31 19:01:32,-34.4833,-54.3333,60.82,62,97,4.5
68,Hambantota,LK,2022-07-31 19:11:18,6.1241,81.1185,78.76,85,100,17.34
69,Cidreira,BR,2022-07-31 19:11:16,-30.1811,-50.2056,61.09,77,59,10.89
70,Margate,GB,2022-07-31 19:11:19,51.3813,1.3862,73.87,73,100,1.99
71,Punta Arenas,CL,2022-07-31 19:09:06,-53.15,-70.9167,44.71,76,75,10.36
72,Soyo,AO,2022-07-31 19:11:19,-6.1349,12.3689,70.48,88,1,9.57
73,Khash,IR,2022-07-31 19:05:19,28.2211,61.2158,80.24,49,100,2.84
